ISO_Code,Country_Name,HALE_Percentile,DEA_Efficiency_Percentile,Fund_Input_Percentile,Physician_Coverage_Percentile,PM25_Burden_Control_Percentile,Tobacco_Burden_Control_Percentile,Clinical_Budget_Pct,Admin_Budget_Pct,PublicHealth_Pct,Env_Pct,Tobacco_Pct,CATE_Clinical,CATE_Admin,CATE_PublicHealth,CATE_Env,CATE_Tobacco
GRC,希腊,85.2,62.76,80.61,98.47,64.8,21.43,52.29,4.78,26.3,16.51,0.11,0.07,8.42,0.36,0.18,-0.28
FIN,芬兰,90.31,38.78,92.35,79.08,99.49,63.27,53.81,4.68,28.46,12.94,0.11,0.78,3.21,0.29,-0.03,-0.21
PNG,巴布亚新几内亚,22.96,97.45,23.47,2.55,4.59,34.69,49.71,8.24,17.54,24.35,0.16,-0.6,1.37,0.04,0.14,0.13
BEN,贝宁,16.84,62.76,8.67,17.86,31.63,98.47,49.83,5.46,20.09,24.46,0.16,-1.85,0.46,0.02,0.1,0.19
POL,波兰,75.51,15.31,76.02,85.2,64.29,19.9,44.32,5.16,30.08,20.32,0.12,1.01,7.74,0.24,0.04,-0.25
GMB,冈比亚,17.6,40.31,2.55,5.87,11.22,77.55,48.99,6.76,26.56,17.52,0.16,-0.34,0.09,-0.06,0.22,0.26
URY,乌拉圭,72.19,17.35,81.63,93.88,80.1,36.73,48.07,5.24,31.58,14.97,0.13,0.35,9.13,0.12,0.17,0.09
PRI,波多黎各,86.73,50.0,51.28,50.77,90.31,64.8,46.49,5.9,30.51,16.96,0.14,0.9,6.46,0.22,0.06,-0.23
GIN,几内亚,9.69,44.9,14.8,16.33,19.39,84.18,48.73,6.61,21.62,22.88,0.16,-2.01,0.17,0.03,0.1,0.17
GNQ,赤道几内亚,9.18,62.76,35.71,10.2,70.92,87.24,51.07,6.34,23.25,19.19,0.15,-0.25,-0.11,-0.0,0.11,0.11
ZWE,津巴布韦,4.08,18.37,15.82,8.42,43.37,73.98,44.7,6.18,26.7,22.27,0.15,0.52,0.55,0.09,0.03,0.19
